кто	дата	счет	статья	сумма	примечания	остаток после					счета		
В	12.03.2016	карта зарпл.В	развлеченья	-300,00	кино	69 221,14	2016.3						
В	11.03.2016	карта зарпл.В	перевод	-65 000,00		4 221,14	2016.3						
В	11.03.2016	кошелек.В	перевод	65 000,00		65 500,00	2016.3						
В	13.03.2016	кошелек.В	аренда	-40 000,00		25 500,00	2016.3						
В	11.03.2016	карта зарпл.В	продукты	-325,50		3 895,64	2016.3						
В	11.03.2016	кошелек.В	продукты	-100,00		25 400,00	2016.3						
В	11.03.2016	карта зарпл.В	еда.обед	-300,00		3 595,64	2016.3						
В	13.03.2016	кошелек.В	продукты	-500,00	?	24 900,00	2016.3						
В	13.03.2016	кошелек.В	продукты	-1 100,00		23 800,00	2016.3						
В	13.03.2016	карта зарпл.В	связь	-550,00	инет сокол	3 045,64	2016.3						
Л	13.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	24 075,00	2016.3						
Л	13.03.2016	кошелек.Л	аптека	-480,00	лекарства Варе	23 595,00	2016.3						
Л	13.03.2016	кошелек.Л	продукты	-1 195,00	продукты	22 400,00	2016.3						
Л	14.03.2016	кошелек.Л	еда.обед	-160,00	обед	22 240,00	2016.3						
В	14.03.2016	карта зарпл.В	еда.обед	-305,00		2 740,64	2016.3						
Л	14.03.2016	кошелек.Л	еда.обед	-260,00	печеньки и кофе	21 980,00	2016.3						
Л	14.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	21 910,00	2016.3						
Л	14.03.2016	кошелек.Л	еда.обед	-285,00	обед с плюшкой	21 625,00	2016.3						
В	15.03.2016	карта зарпл.В	еда.обед	-300,00		2 440,64	2016.3						
В	15.03.2016	карта зарпл.В	аптека	-164,00	от насморка	2 276,64	2016.3						
Л	15.03.2016	кошелек.Л	подарки	-920,00	подарок	20 705,00	2016.3						
Л	15.03.2016	кошелек.Л	подарки	-405,00		20 300,00	2016.3						
Л	15.03.2016	кошелек.Л	сигареты	-280,00		20 020,00	2016.3						
Л	15.03.2016	кошелек.Л	продукты	-120,00		19 900,00	2016.3						
В	15.03.2016	карта зарпл.В	связь	-250,00	Варя моб	2 026,64	2016.3						
В	15.03.2016	карта зарпл.В	связь	-300,00	Лера планшет	1 726,64	2016.3						
Л	15.03.2016	кошелек.Л	отдал члену семьи	-5 000,00	маме на стоматолога	14 900,00	2016.3						
Л	15.03.2016	сбер.вклад	перевод	-10 000,00	в кошелекЛ	771 102,13	2016.3						
Л	15.03.2016	кошелек.Л	перевод	10 000,00		24 900,00	2016.3						
Л	15.03.2016	кошелек.Л	В долг	-5 000,00	Оксана	19 900,00	2016.3						
Л	15.03.2016	кошелек.Л	В долг	-4 500,00	за экскурсию	15 400,00	2016.3						
Л	15.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	15 330,00	2016.3						
Л	15.03.2016	кошелек.Л	продукты	-530,00	продукты	14 800,00	2016.3						
Л	16.03.2016	кошелек.Л	кофе	-150,00	кофе	14 650,00	2016.3						
Л	16.03.2016	кошелек.Л	еда.обед	-205,00	еда	14 445,00	2016.3						
Л	17.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	14 375,00	2016.3						
Л	17.03.2016	сбер.вклад	перевод	-30 000,00	л.карта.сбер	741 102,13	2016.3						
Л	17.03.2016	л.карта.сбер	перевод	30 000,00	приход на л.карта.сбер	30 076,00	2016.3						
Л	17.03.2016	л.карта.сбер	ЖКХ	-747,00	мосэнерго и телефон смольная	29 329,00	2016.3						
Л	17.03.2016	кошелек.Л	красота	-1 600,00	маникюр	12 775,00	2016.3						
Л	17.03.2016	кошелек.Л	перевод	-10 000,00	л.карта.сбер	2 775,00	2016.3						
Л	17.03.2016	кошелек.Л	продукты	-90,00	фрукты	2 685,00	2016.3						
Л	17.03.2016	кошелек.Л	сигареты	-90,00	сигареты	2 595,00	2016.3						
Л	17.03.2016	кошелек.Л	еда.обед	-252,00	обед	2 343,00	2016.3						
В	16.03.2016	кошелек.В	Отдал члену семьи	-6 500,00	др Сони	17 300,00	2016.3						
В	17.03.2016	кошелек.В	продукты	-500,00		16 800,00	2016.3						
В	17.03.2016	карта зарпл.В	еда.обед	-300,00		1 426,64	2016.3						
В	16.03.2016	карта зарпл.В	еда.обед	-305,00		1 121,64	2016.3						
В	17.03.2016	кошелек.В	продукты	-100,00		16 700,00	2016.3						
Л	17.03.2016	л.карта.сбер	перевод	-14 000,00	сбер.вклад	15 329,00	2016.3						
Л	17.03.2016	сбер.вклад	перевод	14 000,00	л.карта.сбер	755 102,13	2016.3						
Л	17.03.2016	л.карта.сбер	квартира	-25 000,00	риэлтору	(9 671,00)	2016.3						
Л	17.03.2016	л.карта.сбер	перевод	10 000,00	кошелек.Л	329,00	2016.3						
В	17.03.2016	кошелек.В	транспорт	-1 600,00	проездной 60 поездок	15 100,00	2016.3						
В	17.03.2016	кошелек.В	спортзал	-3 000,00	зал	12 100,00	2016.3						
Л	17.03.2016	кошелек.Л	ресторан	-1 300,00	суши, кофе	1 043,00	2016.3						
Л	17.03.2016	кошелек.Л	аптека	-75,00		968,00	2016.3						
Л	18.03.2016	л.карта.сбер	кофе	-285,14	кофе	43,86	2016.3						
Л	17.03.2016	кошелек.Л	продукты	-216,00	кефир, хлеб	752,00	2016.3						
Л	17.03.2016	кошелек.Л	транспорт	-110,00	маршрутка	642,00	2016.3						
Л	17.03.2016	кошелек.Л	продукты	-150,00	орехи Варе	492,00	2016.3						
В	18.03.2016	карта зарпл.В	аптека	-638,50	от простуды	483,14	2016.3						
В	18.03.2016	карта зарпл.В	еда.обед	-300,00		183,14	2016.3						
В	18.03.2016	карта зарпл.В	зарплата	30 000,00		30 183,14	2016.3						
Л	18.03.2016	кошелек.Л	еда.обед	-110,00	обед	382,00	2016.3						
В	20.03.2016	кошелек.В	подарки	-1 300,00		10 800,00	2016.3						
В	20.03.2016	кошелек.В	вещи	-350,00	акк. для капучинатора	10 450,00	2016.3						
В	20.03.2016	карта зарпл.В	перевод	-20 000,00		10 183,14	2016.3						
В	20.03.2016	кошелек.В	перевод	20 000,00		30 450,00	2016.3						
Л	20.03.2016	л.карта.сбер	В долг	4 500,00	Возраст за экскурсию	4 543,86	2016.3						
Л	20.03.2016	л.карта.сбер	продукты	-96,00	хлеб	4 447,86	2016.3						
Л	20.03.2016	кошелек.Л	кофе	-125,00	кофе	257,00	2016.3						
Л	20.03.2016	кошелек.Л	сигареты	-170,00	сигареты	87,00	2016.3						
Л	20.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	17,00	2016.3						
Л	20.03.2016	л.карта.сбер	перевод	-2 000,00	кошелек.Л	2 447,86	2016.3						
Л	20.03.2016	кошелек.Л	перевод	2 000,00		2 017,00	2016.3						
Л	20.03.2016	кошелек.Л	продукты	-500,00	продукты	1 517,00	2016.3						
Л	20.03.2016	кошелек.Л	транспорт	-300,00	такси	1 217,00	2016.3						
Л	20.03.2016	кошелек.Л	транспорт	-100,00	маме на дорогу с Варей	1 117,00	2016.3						
Л	20.03.2016	л.карта.сбер	коммисия сбер	-30,00	за банк клиент	2 417,86	2016.3						
В	18.03.2016	кошелек.В	еда.обед	-300,00		30 150,00	2016.3						
Л	20.03.2016	кошелек.Л	еда.обед	-180,00	обед	937,00	2016.3						
Л	20.03.2016	кошелек.Л	сигареты	-90,00	сигареты	847,00	2016.3						
В	22.03.2016	кошелек.В	перевод	-25 000,00		5 150,00	2016.3						
Л	22.03.2016	кошелек.Л	перевод	25 000,00		25 847,00	2016.3						
Л	22.03.2016	кошелек.Л	транспорт	-35,00	маршрутка	25 812,00	2016.3						
Л	22.03.2016	л.карта.сбер	перевод	-2 300,00	в кошелек	117,86	2016.3						
Л	22.03.2016	кошелек.Л	перевод	2 300,00	в кошлек снятие	28 112,00	2016.3						
Л	22.03.2016	кошелек.Л	продукты	-700,00	творог, хлеб, кефир, йогурты	27 412,00	2016.3						
Л	22.03.2016	кошелек.Л	перевод	-20 000,00	сбер.вклад	7 412,00	2016.3						
Л	22.03.2016	сбер.вклад	перевод	20 000,00	c кошелька	775 102,13	2016.3						
Л	22.03.2016	кошелек.Л	еда.обед	-300,00	обед	7 112,00	2016.3						
Л	22.03.2016	кошелек.Л	авон	-3 000,00		4 112,00	2016.3						
В	22.03.2016	карта зарпл.В	еда.обед	-305,00		9 878,14	2016.3						
Л	23.03.2016	кошелек.Л	кофе	-150,00	кофе	3 962,00	2016.3						
Л	23.03.2016	кошелек.Л	сигареты	-160,00	сигареты	3 802,00	2016.3						
Л	23.03.2016	кошелек.Л	Отдал члену семьи	-800,00	Варя англ.	3 002,00	2016.3						
Л	23.03.2016	кошелек.Л	еда.обед	-180,00	обед	2 822,00	2016.3						
Л	23.03.2016	кошелек.Л	продукты	-400,00	продукты	2 422,00	2016.3						
Л	23.03.2016	кошелек.Л	В долг	5 000,00	Оксана вернула	7 422,00	2016.3						
В	23.03.2016	карта зарпл.В	еда.обед	-295,00		9 583,14	2016.3						
Л	23.03.2016	кошелек.Л	Транспорт	-160,00	Такси	7 262,00	2016.3						
Л	23.03.2016	л.карта.сбер	Авон	2 700,00	От т Нади на карту	2 817,86	2016.3						
Л	23.03.2016	кошелек.Л	зарплата	46 000,00		53 262,00	2016.3						
Л	23.03.2016	кошелек.Л	Перевод	-50 000,00	На картперевод на вклад сбер	3 262,00	2016.3						
Л	23.03.2016	сбер.вклад	Перевод	50 000,00	Из кошелька	825 102,13	2016.3						
Л	23.03.2016	кошелек.Л	Отдал члену семьи	-100,00	Варе в школу	3 162,00	2016.3						
Л	23.03.2016	л.карта.сбер	Перевод	-2 500,00	На вклад	317,86	2016.3						
Л	23.03.2016	сбер.вклад	Перевод	2 500,00		827 602,13	2016.3						
В	24.03.2016	кошелек.В	Перевод	-5 000,00	Лере в кошелек	150,00	2016.3				7855		
Л	24.03.2016	кошелек.Л	Перевод	5 000,00		8 162,00	2016.3						
Л	24.03.2016	кошелек.Л	Транспорт	-40,00	маршрутка	8 122,00	2016.3						
Л	24.03.2016	сбер.вклад	Перевод	-199,03	на сбер карту	827 403,10	2016.3						
В	24.03.2016	карта зарпл.В	связь	-950,00	мегафон+сокол	8 633,14	2016.3						
В	24.03.2016	карта зарпл.В	перевод	-500,00		8 133,14	2016.3						
В	24.03.2016	карта старая.В	перевод	500,00	на музыку.	504,30	2016.3						
В	24.03.2016	карта зарпл.В	еда.обед	-305,00		7 828,14	2016.3						
Л	24.03.2016	л.карта.сбер	авон	-406,00	остаток по авону	(88,14)	2016.3						
Л	24.03.2016	л.карта.сбер	перевод	199,00	со вклада	110,86	2016.3						
Л	24.03.2016	сбер.вклад	доход.%	4 421,74	от Сбербанка поступление %	831 824,84	2016.3						
Л	24.03.2016	кошелек.Л	еда.обед	-100,00	обед	8 022,00	2016.3						
Л	24.03.2016	кошелек.Л	еда.обед	-90,00	плюшки	7 932,00	2016.3						
Л	24.03.2016	кошелек.Л	кофе	-70,00	кофе	7 862,00	2016.3						
В	24.03.2016	карта зарпл.В	вещи	-590,00	ежедневник с резинкой 320 стр	7 238,14	2016.3						
Л	24.03.2016	кошелек.Л	красота	-2 500,00	стрижка и покраска	5 362,00	2016.3						
Л	24.03.2016	кошелек.Л	продукты	-840,00	рыба, фрукты, морс.коктейль	4 522,00	2016.3						
Л	25.03.2016	кошелек.Л	Транспорт	-35,00	маршрутка	4 487,00	2016.3						
В	25.03.2016	карта зарпл.В	еда.обед	-300,00		6 938,14	2016.3						
В	25.03.2016	карта зарпл.В	перевод	-2 000,00		4 938,14	2016.3						
В	25.03.2016	кошелек.В	перевод	2 000,00		2 150,00	2016.3						
В	25.03.2016	кошелек.В	продукты	-250,00	печенье	1 900,00	2016.3						
В	25.03.2016	карта зарпл.В	перевод	-1 500,00		3 438,14	2016.3						
В	25.03.2016	карта старая.В	перевод	1 500,00		2 004,30	2016.3						
В	25.03.2016	карта старая.В	развлеченья	-1 540,00	2 билета Варе	464,30	2016.3						
Л	26.03.2016	сбер.вклад	перевод	-6 800,00	на карту	825 024,84	2016.3						
Л	26.03.2016	л.карта.сбер	перевод	6 800,00		6 910,86	2016.3						
Л	26.03.2016	л.карта.сбер	авто.мойка	-350,00	помыли ;)	6 560,86	2016.3						
Л	26.03.2016	л.карта.сбер	вещи	-4 900,00	эл. сигарета	1 660,86	2016.3						
Л	27.03.2016	сбер.вклад	перевод	-8 000,00	на карту	817 024,84	2016.3						
Л	27.03.2016	л.карта.сбер	перевод	8 000,00	на карте	9 660,86	2016.3						
Л	27.03.2016	л.карта.сбер	вещи	-3 398,00	одежда Варе	6 262,86	2016.3						
Л	27.03.2016	л.карта.сбер	вещи	-1 133,00	нитки	5 129,86	2016.3						
Л	27.03.2016	л.карта.сбер	перевод	-1 600,00	в кошелек	3 529,86	2016.3						
Л	27.03.2016	кошелек.Л	перевод	1 600,00	в кошельке	6 087,00	2016.3						
Л	27.03.2016	л.карта.сбер	связь	-1 000,00	онлайм смольная	2 529,86	2016.3						
Л	27.03.2016	л.карта.сбер	ресторан	-480,00	макдак	2 049,86	2016.3						
Л	27.03.2016	сбер.вклад	перевод	-7 021,74	на карту	810 003,10	2016.3						
Л	27.03.2016	л.карта.сбер	перевод	7 022,00		9 071,86	2016.3						
Л	27.03.2016	л.карта.сбер	перевод	-6 600,00	в кошелек	2 471,86	2016.3						
Л	27.03.2016	кошелек.Л	перевод	6 600,00	в кошелек	12 687,00	2016.3						
Л	27.03.2016	кошелек.Л	В долг	-5 000,00	Оксане	7 687,00	2016.3						
Л	27.03.2016	кошелек.Л	Отдал члену семьи	-1 000,00	Варе на англ.	6 687,00	2016.3						
Л	27.03.2016	кошелек.Л	Транспорт	-100,00	маме на проезд	6 587,00	2016.3						
Л	27.03.2016	кошелек.Л	Транспорт	-175,00	маршрутки	6 412,00	2016.3						
Л	27.03.2016	кошелек.Л	вещи	-670,00	варе колготки	5 742,00	2016.3						
В	28.03.2016	карта зарпл.В	еда.обед	-300,00		3 138,14	2016.3						
В	29.03.2016	карта зарпл.В	еда.обед	-305,00		2 833,14	2016.3						
Л	29.03.2016	кошелек.Л	В долг	5 000,00	Оксана вернула	10 742,00	2016.3						
Л	29.03.2016	л.карта.сбер	продукты	-180,00	колбаса	2 291,86	2016.3						
Л	29.03.2016	кошелек.Л	сигареты	-90,00	сигарет	10 652,00	2016.3						
Л	29.03.2016	кошелек.Л	продукты	-370,00	орехи и продукты	10 282,00	2016.3						
Л	29.03.2016	л.карта.сбер	кофе	-125,00	кофе	2 166,86	2016.3						
Л	29.03.2016	кошелек.Л	Транспорт	-35,00	маршрутка	10 247,00	2016.3						
Л	29.03.2016	кошелек.Л	зарплата	46 000,00	за март	56 247,00	2016.3						
Л	29.03.2016	кошелек.Л	еда.обед	-160,00	обед	56 087,00	2016.3						
Л	29.03.2016	кошелек.Л	продукты	-660,00	специи и масло	55 427,00	2016.3						
Л	29.03.2016	кошелек.Л	вещи	-3 327,00	тэппервэйв	52 100,00	2016.3						
Л	29.03.2016	л.карта.сбер	кофе	-150,00	кофе	2 016,86	2016.3						
Л	29.03.2016	кошелек.Л	Транспорт	-50,00	Билет	52 050,00	2016.3						
Л	29.03.2016	кошелек.Л	Транспорт	-1 570,00	Метро	50 480,00	2016.3						
Л	29.03.2016	кошелек.Л	Хозтовары	-735,00	Шампунь, бальзам прокладки	49 745,00	2016.3						
Л	29.03.2016	кошелек.Л	Сигареты	-90,00		49 655,00	2016.3						
В	30.03.2016	карта зарпл.В	продукты	-316,77	-317	2 516,37	2016.3						
Л	29.03.2016	кошелек.Л	перевод	-5 000,00		44 655,00	2016.3						
В	29.03.2016	кошелек.В	перевод	5 000,00		6 900,00	2016.3						
Л	30.03.2016	кошелек.Л	транспорт	-35,00	маршрутка	44 620,00	2016.3						
Л	30.03.2016	кошелек.Л	еда.обед	-90,00	обед	44 530,00	2016.3						
Л	30.03.2016	кошелек.Л	перевод	-35 000,00	на карту	9 530,00	2016.3						
Л	30.03.2016	л.карта.сбер	еда.обед	-320,00	обед и плюшка	1 696,86	2016.3						
Л	30.03.2016	л.карта.сбер	перевод	35 000,00	на карту	36 696,86	2016.3						
Л	30.03.2016	л.карта.сбер	перевод	-30 000,00	на вклад	6 696,86	2016.3						
Л	30.03.2016	сбер.вклад	перевод	30 000,00	на вклад	840 003,10	2016.3						
Л	30.03.2016	л.карта.сбер	связь	-400,00	мой тел	6 296,86	2016.3						
Л	30.03.2016	л.карта.сбер	ЖКХ	-264,00	телефон смольная	6 032,86	2016.3						
Л	30.03.2016	л.карта.сбер	ЖКХ	-3 677,00	ЖКХ март смольная	2 355,86	2016.3						
В	30.03.2016	кошелек.В	продукты	-800,00	печенье+фрукты	6 100,00	2016.3						
В	30.03.2016	карта зарпл.В	еда.обед	-305,00		2 211,37	2016.3						
Л	30.03.2016	кошелек.Л	Отдал члену семьи	-300,00	Варе	9 230,00	2016.3						
Л	30.03.2016	кошелек.Л	транспорт	-35,00	маршрутка	9 195,00	2016.3						
Л	30.03.2016	кошелек.Л	продукты	-110,00	печенье	9 085,00	2016.3						
Л	30.03.2016	кошелек.Л	Отдал члену семьи	-800,00	англ Варин	8 285,00	2016.3						
Л	30.03.2016	кошелек.Л	еда.обед	-210,00	обед	8 075,00	2016.3						
В	31.03.2016	карта зарпл.В	еда.обед	-305,00		1 906,37	2016.3						
Л	31.03.2016	кошелек.Л	Отдал члену семьи	-1 000,00	маме	7 075,00	2016.3						
Л	31.03.2016	л.карта.сбер	продукты	-1 073,00	продукты в магните	1 282,86	2016.3						
Л	31.03.2016	кошелек.Л	транспорт	-105,00	маршрутка	6 970,00	2016.3						
Л	31.03.2016	кошелек.Л	сигареты	-90,00	сигареты	6 880,00	2016.3						
Л	31.03.2016	л.карта.сбер	кофе	-150,00		1 132,86	2016.3						
В	01.04.2016	карта зарпл.В	еда.обед	-300,00		1 606,37	2016.4						
В	02.04.2016	карта зарпл.В	развлеченья	-816,00		790,37	2016.4						
В	02.04.2016	кошелек.В	продукты	-600,00		5 500,00	2016.4						
В	03.04.2016	карта зарпл.В	продукты	-43,00		747,37	2016.4						
В	03.04.2016	кошелек.В	продукты	-500,00		5 000,00	2016.4						
Л	04.04.2016	сбер.вклад	перевод	-5 000,00	на карту	835 003,10	2016.4						
Л	04.04.2016	л.карта.сбер	перевод	5 000,00		6 132,86	2016.4						
Л	04.04.2016	л.карта.сбер	перевод	-4 500,00	в кошелек	1 632,86	2016.4						
Л	04.04.2016	кошелек.Л	перевод	4 500,00		11 380,00	2016.4						
Л	04.04.2016	кошелек.Л	транспорт	-250,00	маршрутки на выходных	11 130,00	2016.4						
Л	04.04.2016	кошелек.Л	ресторан	-1 100,00	с ВАрей макароны	10 030,00	2016.4						
Л	04.04.2016	кошелек.Л	продукты	-4 185,00	на рынке	5 845,00	2016.4						
Л	04.04.2016	кошелек.Л	продукты	-110,00	мед	5 735,00	2016.4						
Л	04.04.2016	кошелек.Л	Отдал члену семьи	-1 100,00	рассада	4 635,00	2016.4						
Л	04.04.2016	кошелек.Л	сигареты	-85,00	сигареты	4 550,00	2016.4						
Л	04.04.2016	кошелек.Л	продукты	-200,00	хлеб, молоко, яйца	4 350,00	2016.4						
Л	04.04.2016	л.карта.сбер	развлеченья	-501,00	попкорн и вода в кино	1 131,86	2016.4						
Л	04.04.2016	л.карта.сбер	Кофе	-155,00	кофе	976,86	2016.4						
Л	04.04.2016	кошелек.Л	транспорт	-400,00	такси	3 950,00	2016.4						
Л	05.04.2016	кошелек.Л	еда.обед	-90,00	бутер	3 860,00	2016.4						
В	03.04.2016	кошелек.В	спортзал	-3 000,00		2 000,00	2016.4						
В	03.04.2016	кошелек.В	подарки	-1 000,00		1 000,00	2016.4						
В	03.04.2016	кошелек.В	еда.обед	-300,00		700,00	2016.4						
В	03.04.2016	кошелек.В	еда.обед	-250,00		450,00	2016.4						
Л	04.04.2016	сбер.вклад	перевод	-5 000,00	на карту сбер	830 003,10	2016.4						
Л	04.04.2016	л.карта.сбер	перевод	5 000,00		5 976,86	2016.4						
Л	04.04.2016	л.карта.сбер	квартира	-5 500,00	Ирине на доки по квартире	476,86	2016.4						
Л	04.04.2016	кошелек.Л	продукты	-2 200,00	орехи, морепродукты, фрукты	1 660,00	2016.4						
Л	04.04.2016	кошелек.Л	транспорт	-70,00	маршрутка	1 590,00	2016.4						
Л	05.04.2016	кошелек.Л	еда.обед	-240,00	обед	1 350,00	2016.4						
В	05.04.2016	карта старая.В	развлеченья	-269,00	apple music	195,30	2016.4						
Л	07.04.2016	кошелек.Л	перевод	-1 000,00	Вадиму	350,00	2016.4						
В	07.04.2016	кошелек.В	перевод	1 000,00	мяу	1 450,00	2016.4						
Л	07.04.2016	кошелек.Л	еда.обед	-200,00	обед	150,00	2016.4						
Л	07.04.2016	сбер.вклад	перевод	-5 000,00	на карту	825 003,10	2016.4						
Л	07.04.2016	л.карта.сбер	перевод	5 000,00		5 476,86	2016.4						
Л	07.04.2016	л.карта.сбер	сигареты	-149,00	сигареты, плюшки	5 327,86	2016.4						
В	07.04.2016	карта зарпл.В	еда.обед	-595,00	обед 2 дня	152,37	2016.4						
В	07.04.2016	кошелек.В	Кофе	-200,00		1 250,00	2016.4						
Л	07.04.2016	кошелек.Л	комиссии и штрафы	-600,00	пошлина	(450,00)	2016.4						
Л	07.04.2016	л.карта.сбер	транспорт	-467,00	такси	4 860,86	2016.4						
Л	07.04.2016	кошелек.Л	кофе	-25,00	кофе	(475,00)	2016.4						
